,Date,Tweet Text,Retweet Count,Favorite Count,Username,User follower count,ID
0,Fri May 27 14:00:04 +0000 2022,One Bitcoin now worth $29309.35@bitstamp. High $29738.070. Low $28604.930. Market Cap $558.368 Billion #bitcoin https://t.co/xJKsJqIZNL,0,0,BTCticker,4265,1530187081565323266
1,Fri May 27 14:00:04 +0000 2022,"Is Metaverse the future of trading? More tech frms are allowing users to acquire, stake, and trade virtual assets and NFTs.
#NFTs #NFTCommunity #NFTGiveaways #cryptocurrency #Crypto #Bitcoin2022 #btc #blockchain",0,0,mktdynamics_,2582,1530187080122392577
2,Fri May 27 14:00:03 +0000 2022,One Bitcoin now worth $29309.35@bitstamp. High $29738.070. Low $28604.930. Market Cap $558.368 Billion #bitcoin,0,0,BTCticker,4265,1530187079421939712
3,Fri May 27 14:00:03 +0000 2022,One Bitcoin now worth $29297.812. Market Cap $558.148 Billion. Based on #coindesk BPI #bitcoin,0,0,BTCticker,4265,1530187078985732096
4,Fri May 27 14:00:03 +0000 2022,Current BTC Dominance: 45.81% #Bitcoin #Altcoin #Cryptocurrency,0,0,btcdominance,4227,1530187078776004609
5,Fri May 27 14:00:03 +0000 2022,#Bitcoin feels like the Internet before the browser 😏,0,0,Trader_Luuk,1492,1530187077505146881
6,Fri May 27 14:00:02 +0000 2022,"https://t.co/t6kVcSK6IH

Crypto market:
$XCN +68.94% 🚀
$ETC +6.74% 📈
$DOT +6.23% 📈
$NEO +4.91% 📈

$EGLD -8.53% 📉
$RUNE -8.16% 📉

#XCN #ETC #DOT #NEO #EGLD #RUNE #Bitcoin #Ethereum #crypto #NFT #META #web3 https://t.co/mPoM3Zae2e",0,0,CryptoTreeMap,52,1530187075290648578
7,Fri May 27 14:00:02 +0000 2022,"#Bitcoin is currently $29,297.8121",0,0,BufoBitcoin,35,1530187072807616519
8,Fri May 27 14:00:02 +0000 2022,"Bitcoin - BTC
Price: $29,331.53
Change in 1h: +0.41677551%
Market cap: $558,788,241,454.99
Ranking: 1
#Bitcoin #BTC",0,0,topcryptostats,4609,1530187072157253632
9,Fri May 27 14:00:01 +0000 2022,"#BTC $29314  $BTC
#ETH $1814.52  $Eth
#BNB $307.28  $Bnb",0,0,Pricecrypt0,116,1530187070588821506
10,Fri May 27 14:00:01 +0000 2022,"strategy: 5010HL1h atr20d: 1939.26

27 May 2022 14:00:01 UTC
🔄 'None' 23:00:01 JST
--- 30010.0  long_entry_trigger
 &gt;  29290.5  last_price $BTC/USD
--- 27976.5  short_entry_trigger

#BTC/USD perpetual contract on #BitMEX",0,0,cRe5520,234,1530187070010019840
11,Fri May 27 14:00:01 +0000 2022,"19,050,843 #Bitcoin are already in circulation. Only 1,949,157 #BTC remaining to be mined",0,0,btc_history,97,1530187068474896384
12,Fri May 27 14:00:01 +0000 2022,"🔻 🔻 🔻 $1,164,779 BTCUSDT SHORTED @$29,310.00 on #Binance (14:00:00 UTC) #BTC #cryptocurrency",0,0,ExchangeWhales,3555,1530187067325546503
13,Fri May 27 14:00:00 +0000 2022,"Dogs have a way of finding the people who need them!
Haven't you found yours yet?
Visit our store and find the exclusive deals our Hereboy holders get!
✅Save this post for later
📍https://t.co/XCjtQCePNk 
📍https://t.co/oEhI8O39dJ 
📍https://t.co/3nDatSdohB
#ethereum #bitcoin https://t.co/E7DjPWvzFt",0,0,HereBoyNFT,16,1530187067174658048
14,Fri May 27 14:00:00 +0000 2022,"#Bitcoin (#BTC) Price Update:
    
Price: $29,314
Last Hour: +0.26%
Last 24 Hrs: +1.45%
Last 7 Days: -3.52%
Last 30 Days: -23.13%
Last 365 Days: -25.61%",0,0,cr_bitcoin,3,1530187063580151808
15,Fri May 27 13:59:43 +0000 2022,"▓▓▓▓▓▓▓▓░░░░░░░ 51.5% 

707 days left  ($29245 per #bitcoin)",0,0,Alessan72994896,125,1530186994046971904
16,Fri May 27 13:59:40 +0000 2022,I gave +Kred to @_trendspotter on @Kred. #influence #IoT #IIoT #AI #ML #Edge #Cloud #SmartCity #5G #IoTPL #IoTCL #CyberSecurity #fintech #NFT #NFTs #Metaverse #web3 #crypto #DeFi #cryptocurrency #Bitcoin #marketing #Tech #TechTrends #EmergingTech #Robots #FutureOfWork #Industry40,0,1,Eli_Krumova,18841,1530186981300490241
