,Date,Tweet Text,Retweet Count,Favorite Count,Username,User follower count,ID
0,Tue May 31 05:30:31 +0000 2022,"Price change in the last 24 hours: % +5.57
#cryptocurrencynews
#Crypto
#Cryptonews
#StableCoin
#Binance
#metaverse
#Airdrops
#eth
#cryptos
#cryptotrading
#DeFi
#nftcollector
#metaai 
#mai 
#metaaiteam",0,0,metaaiteam,691,1531508399724167169
1,Tue May 31 05:30:07 +0000 2022,"Slow 28 | Normal 61.8 | Fast 50.8 | Instant 78.2 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH

Have you used the other bots in my family? @AVAXGas, @FTMGas",0,0,ETHGasPriceBot,1173,1531508300721823745
2,Tue May 31 05:30:02 +0000 2022,"#erc20gas #ETH #crypto 
⛽️Auto 15Min ETH Gas Tracking⛽️

GWEI:
Low: 51 gwei
Avg: 51 gwei
High: 53 gwei

Opensea: Sale
Low: $20.49
Avg: $20.49
High: $21.29

Uniswap V3: Swap
Low: $18.69
Avg: $18.69
High: $19.42

USDT: Transfer
Low: $5.48
Avg: $5.48
High: $5.70",0,0,Erc20Gas,730,1531508279414771712
3,Tue May 31 05:30:00 +0000 2022,The average #Ethereum network fee has dropped to a ten-month low of $2.96 per transaction.,0,0,Crypto_trader99,107,1531508270824927232
4,Tue May 31 05:29:45 +0000 2022,"Let's do a fun little exercise for our #ETH friends.

You have 2ETH that you want to liquidate and put into #Cardano #NFTs 

Which projects do you buy into?  

At the time of this post 2 $ETH = 6,205 $ADA",0,1,TheKryptman,865,1531508208811905025
5,Tue May 31 05:29:30 +0000 2022,"Raise your hand if you’ve been here since having to buy off localbitcoin in 2011🥂
Bonus points if you were in Florida meeting classy people🤧
#SOL #ETH #NFTs #crypto #horrorstories",0,0,UrUncomfortable,669,1531508144639299586
6,Tue May 31 05:29:21 +0000 2022,"#Ethereum 
 Price Now: $1987.55
 ₿0.06265057
 Market Cap: $240388898026.74646 #ETH",0,1,MrCoinMarket,384,1531508105959419904
7,Tue May 31 05:29:14 +0000 2022,"#Ethereum Price 
 
 Three months ago: $2684.14 
 
 One month ago: $2842.59 
 
 One week ago: $2008.82 
 
  Now: $1987.55 #ETH #ETHHodlers",0,1,MrCoinMarket,384,1531508079149436930
8,Tue May 31 05:29:09 +0000 2022,"#Ethereum - Rank: 2
 
 Now: 1987.55$
 
 High 24h: 2007.88$
 
 Low 24h: 1880.11$ #eth",0,1,MrCoinMarket,384,1531508055552184322
9,Tue May 31 05:28:33 +0000 2022,"@mikealfred Good,
Merge is inevitable but the high gas fee was not if it was not centralized to this level.

#Bitcoin  was able to get its fee to less than a dollar and hardly a couple pennies if in #LightningNetwork 

#Eth is an ecosystem having a long tail of crappy alts",0,0,Shradosphere,194,1531507906314928128
10,Tue May 31 05:28:29 +0000 2022,"@TokenTopics @YouTube Remember folks, #dcentwallet supports $WTK token from 3 different networks.

#ERC20 (#Ethereum)
#XRC20 (#XDC Network) 
#BEP20 (#BSC)",0,1,DCENTwallets,22607,1531507887851601920
11,Tue May 31 05:28:27 +0000 2022,#Ethereum  will  be powered by Ethereum.,0,1,CMarshallAlison,581,1531507881014611970
12,Tue May 31 05:28:09 +0000 2022,"Trading is MULTIDIMENSIONAL.

Despite MULTI TIMEFRAME being left out, when people post setups, it is the MOST important tool of any successful trader.

$SPX $SPY $QQQ $DJI $AAPL $GOOGL $MSFT $TSLA
#BTCUSD #Crypto #Bitcoin #BTC #Binance $BNB
#Trading #Cryptocurrency #Ethereum $ETH",0,0,TruePriceAction,499,1531507806347599872
13,Tue May 31 05:27:55 +0000 2022,I am following back all #goblintownwtf pfps😈 @goblintownwtf #NFTCommunity #NFTs #ETH #cryptoart,0,1,WoosterLab,1644,1531507747837120513
14,Tue May 31 05:27:35 +0000 2022,"Just-In: MakerDAO Enables the StarkNet Dai Bridge, Allows DAI to Move Between Ethereum and StarkNet.

#MakerDAO #StarkNet #DAI #Ethereum",0,0,CoinGapeMedia,46601,1531507663074369536
15,Tue May 31 05:27:35 +0000 2022,"⚡️ Drop your best #NFTs to get promoted! Follow, retweet and like this post👇 #eth #ethereum #crypto #NFT #NFTs #nftart #nftartists #sol #shib #bitcoin",0,0,LazyTrainsUK,323,1531507662726250498
16,Tue May 31 05:27:05 +0000 2022,Cardano (ADA) went up 11.7 percent in the last 30 minutes on Binance. #ADA  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews,0,0,cryptoalerted,393,1531507535865384961
17,Tue May 31 05:27:04 +0000 2022,Axie Infinity Shards (AXS) went down 10.4 percent in the last 30 minutes on Binance. #AXS  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews,0,1,cryptoalerted,393,1531507534548422656
18,Tue May 31 05:25:55 +0000 2022,"""Lido, Coinbase and Kraken control 46% of #eth staked""

erm...",0,2,chainyoda,11607,1531507243811749890
19,Tue May 31 05:25:45 +0000 2022,Requesting faucet funds into 0xF6f24782ec37691076A604c92321351512B660c3 on the #Rinkeby #Ethereum test network.,0,0,MCA692,12,1531507201998589952
20,Tue May 31 05:25:27 +0000 2022,"@acadexnetwork It's a very wonderful project !!!! I feel avant-garde and sharpened sensibility!!!! I'm so happy if you give me this one i'm very very thankyou

@faaastminer 
@Adebillions 
@Python5_4 

@acadexnetwork #ACDX #AcadexArmy #BSC #BNB  #Metaverse #BSCGem #Airdrops #ETH #NFT",0,0,Midejrib,202,1531507127860305922
21,Tue May 31 05:24:58 +0000 2022,Requesting faucet funds into 0x79703E1922F57DF68835433a45758b3538AC50DD on the #Rinkeby #Ethereum test network.,0,0,leonacostaok,150,1531507004501504000
22,Tue May 31 05:23:52 +0000 2022,Dm me now on how to recover trust wallet phrase and coinbase account recovery#Trustwallet #cryptocurrency #Bnb       #cyber #RecoveryPhrase #coinbase #crypto #Ethereum #CryptoNews #Binance       #BTC       #Anonymous #Binance #lostnft,0,0,PurnaVendra,2,1531506728516431872
23,Tue May 31 05:23:44 +0000 2022,"@BitMEX Lets go 1 #ETH $1,988.00",0,0,DexterRyanDela1,599,1531506695255752704
24,Tue May 31 05:23:26 +0000 2022,@Davincij15 i would suggest #Ethereum,0,0,Cryptobaba1100,588,1531506618164301824
