Date,Time,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-03-01,0:15,338,23,0.0938198281625649,0.1885021819357899,41,0.1213017751479289
2022-03-01,0:30,134,4,0.0597245525221215,0.2189906409563322,13,0.0970149253731343
2022-03-01,0:45,127,3,0.0562868555311084,0.1922692659794276,9,0.0708661417322834
2022-03-01,1:0,118,3,0.0676640995138845,0.2035355547889286,10,0.0847457627118644
2022-03-01,1:15,131,1,0.0440185870477602,0.2250575171480872,11,0.0839694656488549
2022-03-01,1:30,110,4,0.060097047555345,0.2645010287381687,10,0.0909090909090909
2022-03-01,1:45,117,6,0.0717083708040862,0.2062646899842203,9,0.0769230769230769
2022-03-01,2:0,135,9,0.0795107096157692,0.2114924045208164,15,0.1111111111111111
2022-03-01,2:15,146,7,0.0819414220399491,0.2391175352529864,15,0.1027397260273972
2022-03-01,2:30,129,5,0.0789158222186126,0.2654503443431496,15,0.1162790697674418
2022-03-01,2:45,123,8,0.0765997623699164,0.2415801950286064,12,0.0975609756097561
2022-03-01,3:0,111,7,0.0713557682906252,0.2254395955715938,12,0.1081081081081081
2022-03-01,3:15,153,7,0.0864700398322657,0.2632913540478083,24,0.1568627450980392
2022-03-01,3:30,130,5,0.0753919419725067,0.2123249817300567,11,0.0846153846153846
2022-03-01,3:45,109,7,0.1065737165707172,0.2118030431034518,13,0.1192660550458715
2022-03-01,4:0,114,9,0.101318619785863,0.2258679913317753,19,0.1666666666666666
2022-03-01,4:15,116,9,0.10314143875389,0.2789348148998176,21,0.1810344827586207
2022-03-01,4:30,109,15,0.1424692984875462,0.2902329004078831,23,0.2110091743119266
2022-03-01,4:45,194,4,0.0658946666199253,0.1904669690632711,12,0.0618556701030927
2022-03-01,5:0,123,9,0.0987335936113344,0.242174764253136,19,0.1544715447154471
2022-03-01,5:15,142,9,0.0950001252349466,0.2338998707935859,14,0.0985915492957746
2022-03-01,5:30,170,11,0.1028941802297006,0.2179686492703188,24,0.1411764705882353
2022-03-01,5:45,110,4,0.0717682303395122,0.2313799823235588,13,0.1181818181818181
2022-03-01,6:0,122,3,0.0782805957877245,0.2090334586941193,15,0.1229508196721311
2022-03-01,6:15,107,6,0.0781283364196038,0.2117866622598949,16,0.1495327102803738
2022-03-01,6:30,116,7,0.0912949005784145,0.2518419621917634,18,0.1551724137931034
2022-03-01,6:45,140,16,0.1263965213638065,0.2749384977825209,28,0.2
2022-03-01,7:0,119,17,0.1584423559702181,0.2529570046411446,25,0.2100840336134453
2022-03-01,7:15,143,9,0.1051249018889832,0.218532206155605,25,0.1748251748251748
2022-03-01,7:30,103,8,0.0885049306055151,0.2767047682307141,16,0.1553398058252427
2022-03-01,7:45,132,9,0.1002804934025996,0.2215639887141395,14,0.106060606060606
2022-03-01,8:0,194,7,0.0844854840135067,0.1719479818571869,19,0.0979381443298969
2022-03-01,8:15,166,12,0.1214088146961911,0.2534294235403281,33,0.1987951807228915
